no,stock_code,stock_name,date
1,8601,大和証券株式会社,"2005/10/04,2005/10/06"
2,3068,株式会社ＷＤＩ,2007/03/19
3,9824,泉州電業株式会社,"2006/11/06,2006/09/05"
4,7421,カッパ・クリエイト株式会社,2007/03/08
5,5216,株式会社倉元製作所,"2005/11/16,2005/11/17"
6,6301,株式会社小松製作所,2005/07/04-2005/07/13
7,3796,株式会社いい生活,"2007/01/11-2007/01/30,2007/10/12-2007/10/29"
8,8214,株式会社ＡＯＫＩホールディングス,"2007/11/15,2007/11/14,2007/11/02,2007/11/07"
9,6855,日本電子材料株式会社,2007/08/06
10,1619,建設株式会社,2008/10/28-2008/10/30
11,6501,株式会社日立製作所,"2007/03/12,2009/01/14"
12,9997,株式会社ベルーナ,"2007/10/12,2007/10/17,2008/07/04,2008/07/09"
13,7241,フタバ産業株式会社,2008/10/06
14,1786,オリエンタル白石株式会社,2008/11/26
15,1301,株式会社ウィーヴ,"2009/01/09,2009/01/13"
16,8001,伊藤忠商事株式会社,2007/06/14
17,2802,味の素株式会社,"2007/06/11,2007/06/08"
18,5602,株式会社栗本鐵工所,2007/11/21
19,9972,アルテック株式会社,2008/01/09-2008/01/21
20,7725,株式会社インターアクション,2009/05/27-2009/07/06
21,2212,山崎製パン株式会社,2009/07/30
22,1301,株式会社フェヴリナ,"2009/03/09,2009/03/10"
23,7571,株式会社ヤマノホールディングス,"2008/10/10-2008/10/16,2008/10/23-2008/10/29,2008/10/07-2008/10/09"
24,4686,株式会社ジャストシステム,"2009/02/05,2009/02/06"
25,8157,都築電気株式会社,2010/07/13
26,8202,オックスホールディングス株式会社,"2006/08/11,2006/08/14,2006/08/10"
27,8202,オックスホールディングス株式会社,"2006/08/10,2006/08/15"
28,3566,株式会社ネクスト,2011/11/09
29,7240,ＮＯＫ株式会社,"2010/07/21-2010/07/30,2010/07/21-2010/07/29"
30,9501,東京電力株式会社,"2010/09/28,2010/09/27-2010/09/29"
31,5202,日本板硝子株式会社,2010/08/05-2010/08/23
32,8411,株式会社みずほフィナンシャルグループ,2010/06/24
33,2681,株式会社ゲオ,2010/02/09
34,3489,株式会社フェイス,2010/01/20
35,5352,黒崎播磨株式会社,"2008/12/26-2009/01/05,2010/01/20-2010/02/10,2010/02/02-2010/02/10"
36,5352,黒崎播磨株式会社,2010/11/10
37,6727,株式会社ワコム,2013/01/23
38,7527,株式会社システムソフト,"2012/10/24,2012/10/29,2012/10/26"
39,7744,ノーリツ鋼機株式会社,"2012/12/10,2012/12/20"
40,1860,戸田建設株式会社,2012/10/31
41,1301,株式会社,2012/10/23
42,6905,コーセル株式会社,2012/06/06-2012/06/08
43,6336,株式会社石井表記,"2011/08/23,2011/08/24"
44,7042,アクセス株式会社,2012/10/01
45,9419,株式会社ワイヤレスゲート,2013/07/19
46,3178,チムニー株式会社,2013/10/22-2013/10/24
47,8267,イオン株式会社,"2013/02/14-2013/03/05,2013/03/13,2013/03/14,2013/03/15"
48,7419,株式会社ノジマ,2013/11/15
49,5990,株式会社スーパーツール,"2013/04/15,2013/04/15-2013/04/18,2013/04/16"
50,8844,株式会社コスモスイニシア,2013/04/12-2013/04/15
51,4080,株式会社田中化学研究所,2013/03/28
52,3186,株式会社ネクス,"2013/01/09-2013/01/11,2013/01/18-2013/01/21,2013/01/21"
53,3241,株式会社ウィル,2012/11/26
54,2180,株式会社サニーサイドアップ,2013/01/22
55,8053,住友商事株式会社,"2014/09/25,2014/09/26"
56,6677,株式会社エスケーエレクトロニクス,"2013/08/02-2013/08/08,2014/05/02-2014/05/12"
57,9435,株式会社光通信,2014/11/12
58,9204,スカイマーク株式会社,"2014/07/16,2014/07/17"
59,2340,株式会社極楽湯,2014/04/15-2014/05/27
60,3807,株式会社フィスコ,2014/09/25
61,8015,豊田通商株式会社,"2014/01/14,2014/01/09,2014/01/08"
62,6391,株式会社加地テック,2013/10/24
63,2676,高千穂交易株式会社,"2016/02/02,2016/02/03"
64,5449,大阪製鐵株式会社,2015/08/03-2015/08/24
65,7771,日本精密株式会社,"2015/06/18-2015/07/09,2015/05/22,2015/05/29,2015/05/28-2015/06/19,2015/05/19,2015/07/09"
66,2193,クックパッド株式会社,2015/03/25-2015/04/17
67,6971,京セラ株式会社,2015/07/06-2015/07/30
