番号,stock_code,stock_name,date
1,8367,南都銀行,"1992/02/01-1994/11/30,1992/02/01-1997/08/31"
2,8614,東洋証券株式会社,1999/07/21-2000/04/21
3,8700,丸八証券株式会社,"2000/09/08,2000/10/25,2000/07/07-2000/10/06,2000/05/17-2000/05/19"
4,8609,岡三証券株式会社,"2000/12/07-2001/10/03,2000/12/08-2002/04/05"
5,8622,水戸証券株式会社,"2001/03/28-2001/11/08,2001/09/11-2001/10/11,2001/05/15,2001/01/24-2001/11/26,2001/01/12-2001/11/13,2000/11/29-2001/11/16,2001/04/12-2001/11/16,2001/03/26-2001/12/06,2000/11/07-2001/11/12,2001/10/04-2001/12/20,2000/10/18-2002/01/17,2001/10/11-2001/12/18,2001/10/04-2001/11/09,2001/04/06-2002/01/07,2001/08/03-2002/01/15,2001/06/19-2001/10/12,2001/02/16-2002/01/07,2001/05/10-2001/11/27,2001/10/05-2001/11/12,1996/12/13-2001/12/06,1999/10/20-2001/10/23,1999/06/01-2001/10/24,1999/01/20-2002/01/30"
6,8705,日産証券株式会社,"1995/06/27-1999/07/02,1995/06/27-2001/11/08"
7,8613,丸三証券株式会社,"2000/12/13,2002/04/26,2001/01/05-2002/10/29,2001/10/12-2002/07/12,2001/12/17-2002/11/07,2001/03/09-2002/10/01"
8,8614,東洋証券株式会社,"2002/09/10,2002/09/10-2003/01/24"
9,8628,松井証券株式会社,2003/07/01-2005/04/30
10,8700,丸八証券株式会社,"2003/10/29,2004/01/01,2003/10/31-2005/02/23,2003/10/01,2003/10/03-2004/07/22,2004/06/29-2004/07/29,2001/06/21,2004/07/29,2001/09/12-2005/03/07,2004/04/01,2004/04/26-2004/07/09,2004/07/01,2004/07/26-2004/08/02,2004/01/08-2004/07/28,2004/07/08-2004/07/28"
11,8624,いちよし証券株式会社,2005/06/03
12,8511,日本証券金融株式会社,1998/06/01-2007/12/14
13,1929,日特建設株式会社,"2005/12/16,2006/06/29,2006/12/15"
14,8700,丸八証券株式会社,"2004/10/07,2004/10/08-2005/07/13,2004/09/01,2004/10/06-2005/06/20,2005/06/01,2005/06/08-2006/11/13,2004/04/01,2004/04/14-2006/05/12,2006/04/11-2006/05/23"
15,4814,ネクストウェア株式会社,"2005/12/22,2006/06/30,2006/01/10,2006/01/26"
16,162A,三菱ＵＦＪ証券株式会社,2005/07/28
17,6382,トリニティ工業株式会社,2006/01/05-2006/01/06
18,8613,丸三証券株式会社,2005/10/01-2008/04/30
19,8601,大和証券株式会社,"2006/07/12-2007/12/10,2008/02/04"
20,7013,株式会社ＩＨＩ,"2006/12/15,2007/06/27,2007/01/09,2007/01/26,2007/02/26,2007/06/08,2007/06/18"
21,7185,ヒロセ通商株式会社,"2005/06/01,2005/07/01,2005/07/01-2006/12/31,2006/03/01-2006/11/30,2006/03/01-2006/12/31"
22,3159,丸善株式会社,"2005/12/13,2006/04/28"
23,1301,株式会社ＴＯＮＫ,2009/03/17
24,7538,株式会社大水,2008/06/27
25,3048,株式会社ビックカメラ,"2007/10/26,2007/11/20,2007/11/29,2008/05/02,2008/11/27,2008/05/16,2008/06/09,2008/06/10"
26,7241,フタバ産業株式会社,"2006/06/29,2006/12/28,2007/06/28,2007/12/26,2008/06/30,2008/08/13"
27,6347,株式会社プラコー,"2007/12/21,2008/06/30"
28,6656,インスペック株式会社,2009/07/23-2009/07/29
29,6137,小池酸素工業株式会社,2008/12/18-2009/02/10
30,3825,株式会社リミックスポイント,2007/12/27
31,2491,バリューコマース株式会社,"2008/10/02-2008/10/06,2008/10/07-2008/10/22,2008/10/03-2008/10/07"
32,2323,株式会社ｆｏｎｆｕｎ,"2008/08/13,2008/11/12,2009/02/12,2009/06/29,2009/08/13,2009/11/16,2010/02/15,2010/06/30,2010/08/13,2010/11/12,2009/10/30,2009/11/16"
33,9355,株式会社リンコーコーポレーション,2010/06/28
34,3266,株式会社ファンドクリエーショングループ,"2011/05/12,2011/11/10,2011/11/28"
35,3071,株式会社ストリーム,"2007/10/30,2008/04/30,2008/10/31,2009/04/30"
36,2148,アイティメディア株式会社,2010/02/18-2010/03/05
37,7733,オリンパス株式会社,"2007/06/28,2007/12/14,2008/06/27,2008/08/14,2008/11/14,2009/02/13,2009/06/26,2009/08/14,2009/11/13,2010/02/15,2010/06/29,2010/08/13,2010/11/12,2011/02/14,2011/06/29,2011/08/11"
38,7733,オリンパス株式会社,"2009/06/26,2010/06/29,2011/06/29"
39,7733,オリンパス株式会社,"2007/06/28,2008/06/27"
40,7733,オリンパス株式会社,"2007/06/28,2008/06/27"
41,1301,株式会社エル･シー･エーホールディングス,"2009/08/20,2010/08/18,2011/01/04,2011/04/05,2011/08/19,2011/10/04,2011/12/28,2012/04/04,2012/08/10,2012/10/04,2012/12/28,2013/04/05,2013/08/20,2013/10/04,2009/04/28,2009/07/15,2010/03/19,2011/11/07,2012/06/18"
42,7148,株式会社ＦＰＧ,2012/10/09
43,9795,株式会社ステップ,2012/10/12-2012/10/15
44,9685,ＫＹＣＯＭホールディングス株式会社,"2009/06/26,2010/06/25,2010/08/13,2010/11/12,2011/02/10,2011/06/28,2011/08/12,2011/11/11,2012/02/10,2012/06/28,2012/08/10,2012/11/13"
45,5757,株式会社ＣＫサンエツ,2012/04/05-2012/04/18
46,8836,株式会社ＲＩＳＥ,2012/03/21-2012/04/25
47,3238,セントラル総合開発株式会社,2011/01/31-2011/02/10
48,4684,株式会社オービック,"2012/02/14,2012/06/29"
49,9823,株式会社マミーマート,"2012/02/10-2012/02/23,2012/03/30-2012/04/10"
50,6334,明治機械株式会社,"2008/06/27,2008/08/14,2008/11/14,2009/02/13,2009/06/26,2009/08/14,2009/11/13,2010/02/15,2012/02/13,2009/09/18,2009/10/06"
51,6703,沖電気工業株式会社,"2009/08/12,2009/11/12,2010/02/09,2010/06/29,2010/08/12,2010/11/12,2011/02/10,2011/06/29,2011/08/11,2011/11/11,2012/02/10,2012/06/28"
52,219A,ＳＥＥＤ株式会社,2013/04/11
53,219A,ＳＥＥＤ株式会社,"2010/11/11-2013/03/31,2011/03/11,2011/05/11"
54,6638,株式会社ミマキエンジニアリング,2010/03/25-2010/04/12
55,4107,伊勢化学工業株式会社,2012/10/25-2012/10/26
56,6625,ＪＡＬＣＯホールディングス株式会社,"2012/08/13,2012/11/14,2013/02/12,2013/06/26,2013/08/07,2013/11/06,2014/02/05,2013/02/21,2013/11/18"
57,4361,川口化学工業株式会社,2013/07/11-2013/07/12
58,8585,株式会社オリエントコーポレーション,"2013/02/15,2013/03/11,2013/08/05,2013/08/22"
59,301A,株式会社インデックス,2012/11/27
60,8518,アジア投資株式会社,2012/09/21-2013/04/30
61,4714,株式会社リソー教育,"2009/05/27,2009/10/14,2010/01/13,2010/05/26,2010/07/14,2010/10/13,2011/01/13,2011/05/26,2011/07/13,2011/10/14,2012/01/13,2012/05/25,2012/07/13,2012/10/15,2013/01/11,2013/05/17,2013/07/16,2013/10/15,2011/09/27,2012/10/29"
62,1301,株式会社トラヴィス・コンサルティング,2012/08/01-2013/06/30
63,4406,新日本理化株式会社,"2011/11/01-2011/12/29,2011/11/02-2012/02/10,2012/04/17,2012/04/18-2012/05/07,2011/09/02,2012/02/29,2012/03/14"
64,8399,琉球銀行,2015/01/07
65,4406,新日本理化株式会社,"2012/02/15-2012/03/02,2012/02/17-2012/03/05"
66,6588,株式会社東芝,"2012/06/22,2013/06/25,2010/12/15,2013/01/28,2013/05/30,2013/07/26,2013/12/11"
67,8346,東邦銀行,2014/06/10
68,7733,オリンパス株式会社,"2007/06/28,2008/06/27,2009/06/26,2010/06/29,2010/03/21-2010/03/31"
69,6147,株式会社ヤマザキ,2014/01/28-2014/02/25
70,3276,ＪＰＭ株式会社,2011/09/01-2015/08/07
71,3623,ビリングシステム株式会社,"2013/10/16-2013/10/25,2013/11/06,2014/03/03-2014/03/12"
72,7224,株式会社明和,2015/06/30
73,8366,滋賀銀行,2014/03/07-2014/03/27
74,2656,株式会社ベクター,"2014/01/09,2014/12/12-2014/12/17"
75,1326,株式会社トラスト,2013/12/12-2014/01/24
76,1301,株式会社日本ヴェリタス,2011/01/11-2014/07/31
77,1966,株式会社高田工業所,2013/12/18-2014/01/15
78,1301,株式会社Ｇ．Ｓ．Ｔ,2016/08/02
79,5290,ベルテ株式会社,"2014/03/11-2014/04/30,2011/06/11-2013/05/31"
80,1822,大豊建設株式会社,"2015/03/18,2015/03/20,2015/04/03,2015/05/18,2015/05/19,2015/06/09,2015/06/22"
81,1879,新日本建設株式会社,"2011/06/29,2011/08/09,2011/11/11,2012/02/10,2012/06/28,2012/08/10,2012/11/14,2013/02/12"
82,1672,株式会社ウィズ,2014/08/14-2014/08/18
83,2743,ピクセルカンパニーズ株式会社,"2016/08/15,2016/11/11"
84,4044,セントラル硝子株式会社,"2016/04/13,2016/04/14,2016/04/15,2016/04/20,2016/04/19-2016/04/20"
85,5724,株式会社アサカ理研,2016/03/31-2016/05/13
86,8836,株式会社ＲＩＳＥ,2010/04/11-2014/11/30
87,1301,株式会社Ｔ＆Ｃメディカルサイエンス,"2013/12/19,2015/09/28"
88,2206,江崎グリコ株式会社,"2014/12/08,2014/12/09,2014/12/11"
89,3791,株式会社ＩＧポート,2015/09/10-2015/09/14
90,3071,株式会社ストリーム,"2014/01/14,2014/01/30"
91,8704,トレイダーズホールディングス株式会社,"2017/06/27,2017/08/10,2017/11/14,2018/02/14,2018/01/10"
92,7201,日産自動車株式会社,"2011/06/30,2012/06/30,2013/06/30,2014/06/30,2015/06/30"
93,4928,株式会社ノエビアホールディングス,2017/11/07
94,8614,東洋証券株式会社,2013/09/11-2018/02/28
95,4082,第一稀元素化学工業株式会社,2018/10/05
96,6942,株式会社ソフィアホールディングス,2014/06/27
97,7201,日産自動車株式会社,"2015/06/25,2016/06/24,2017/06/29,2018/06/28,2016/04/15"
