idx,feature
0,ドレスナー・クラインオートベンソン
1,証券
2,会社
3,東京
4,支店
5,検査
6,結果
7,勧告
8,ドレスナー・クラインオート
9,ベンソン
10,対する
11,１１月
12,証券取引等監視委員会
13,内容
14,虎ノ門
15,丁目
16,役職
17,3digit
18,東証
19,大証
20,会員
21,ドレスナー
22,いう
23,とおり
24,法令
25,違反
26,事実
27,認め
28,られ
29,本日
30,内閣
31,総理
32,大臣
33,臨時
34,代理
35,金融
36,監督
37,長官
38,事務
39,に対して
40,設置
41,規定
42,行政
43,処分
44,行う
45,関係
46,虚偽
47,記載
48,取引
49,報告
50,交付
51,行為
52,国内
53,営業
54,８月
55,７月
56,顧客
57,委託
58,うち
59,成立
60,約定
61,価格
62,誤っ
63,連絡
64,により
65,確認
66,行い
67,誤り
68,気が付い
69,かかわら
70,既に
71,評価
72,落ち
73,今後
74,影響
75,考え
76,理由
77,訂正
78,といった
79,正当
80,処理
81,なく
82,市場
83,注文
84,自己
85,勘定
86,付け替える
87,とともに
88,による
89,に対し
90,過誤
91,申請
92,承認
93,立会
94,売買
95,作成
96,上記
97,外国
98,業者
99,に関する
100,法律
101,該当
102,十字屋
103,１２月
104,関東
105,財務局
106,中央
107,日本橋
108,茅場
109,資本
110,再生
111,委員
112,有価
113,売付け
114,（株）
115,５月
116,)　
117,空売り
118,明らか
119,まま
120,計算
121,株式
122,転換
123,社債
124,多数
125,行っ
126,有し
127,又は
128,なけれ
129,なら
130,定め
131,施行
132,政令
133,１０月
134,付け
135,直近
136,満た
137,しよ
138,とき
139,定める
140,ところ
141,東海丸万証券
142,東海
143,愛知
144,名古屋
145,その他
146,適切
147,措置
148,実勢
149,反映
150,作為
151,相場
152,形成
153,べき
154,一連
155,部長
156,関与
157,決算
158,対策
159,対当
160,株価
161,指数
162,オプション
163,売り
164,建て
165,買い戻す
166,双方
167,損益
168,発生
169,買付け
170,一定
171,高い
172,指値
173,方法
174,銘柄
175,引き上げる
176,目的
177,もっ
178,午前
179,健全
180,準則
181,省令
182,総理府
183,大蔵省
184,損失
185,補てん
186,財産
187,利益
188,提供
189,４月
190,投資
191,信託
192,受益
193,つき
194,生じ
195,全部
196,親族
197,借り入れ
198,資金
199,口座
200,入金
201,相当
202,また
203,インスティネット
204,店頭株
205,受託
206,取次
207,発注
208,執行
209,トレーディング
210,課長
211,実際
212,異なっ
213,気付い
214,自分
215,知ら
216,たく
217,上司
218,了承
219,異なる
220,入力
221,部課
222,行わ
223,参考
224,抜粋
225,いずれ
226,罰金
227,処する
228,中略
229,準用
230,業務
231,規制
232,名義
233,貸し
234,禁止
235,管理
236,なる
237,態様
238,明示
239,問屋
240,介入
241,排除
242,説明
243,誠実
244,公正
245,原則
246,法人
247,における
248,それぞれ
249,先物
250,遅滞
251,係る
252,契約
253,事情
254,勘案
255,公益
256,保護
257,支障
258,生ずる
259,受け
260,限り
261,丸金
262,日本橋蛎殻
263,知り
264,３月
265,歩合
266,外務
267,信用
268,決済
269,回避
270,成行
271,引き下げ
272,買戻し
273,新規
274,意図
275,状況
276,公表
277,年度
278,年次
279,活動
280,2digit
281,本年
282,６月
283,期間
284,発足
