company,anomaly_count,label,risk_level,ratio
3323,1307,Infected,高リスク,15.028877564353849
1975,914,Infected,高リスク,10.509865412256632
2681,591,Infected,高リスク,6.795766366130929
7725,579,Infected,高リスク,6.657781262250098
2752,440,Non-infected,高リスク,5.059453808963805
5202,413,Infected,高リスク,4.748987325231935
2776,350,Non-infected,高リスク,4.024565529857572
8848,336,Infected,高リスク,3.863582908663269
6334,314,Non-infected,高リスク,3.6106102182150788
9204,288,Infected,高リスク,3.311642493139945
3358,281,Infected,高リスク,3.2311511825427934
9685,280,Non-infected,高リスク,3.2196524238860578
8511,279,Non-infected,高リスク,3.2081536652293217
8336,275,Non-infected,高リスク,3.162158630602378
6343,269,Non-infected,高リスク,3.0931660786619624
2418,261,Non-infected,中リスク,3.0011760094080753
8089,239,Non-infected,中リスク,2.748203318959885
4686,206,Infected,中リスク,2.3687442832875996
7832,200,Non-infected,中リスク,2.2997517313471842
5724,199,Non-infected,中リスク,2.288252972690448
1860,198,Infected,中リスク,2.276754214033712
7733,196,Non-infected,中リスク,2.2537566967202403
2491,193,Non-infected,中リスク,2.2192604207500324
8844,189,Infected,中リスク,2.173265386123089
3185,188,Infected,中リスク,2.161766627466353
6573,187,Non-infected,中リスク,2.150267868809617
3004,186,Non-infected,中リスク,2.138769110152881
3671,184,Infected,中リスク,2.115771592839409
5449,180,Infected,中リスク,2.0697765582124656
2437,173,Non-infected,低リスク,1.9892852476153142
2743,164,Non-infected,低リスク,1.8857964197046908
2180,160,Infected,低リスク,1.8398013850777473
4427,157,Non-infected,低リスク,1.8053051091075394
8613,141,Non-infected,低リスク,1.6213249705997648
6625,141,Non-infected,低リスク,1.6213249705997648
2340,140,Infected,低リスク,1.6098262119430289
8614,136,Non-infected,低リスク,1.5638311773160851
1619,131,Infected,低リスク,1.5063373840324055
8927,129,Non-infected,低リスク,1.4833398667189337
7571,125,Infected,低リスク,1.43734483209199
5352,118,Infected,低リスク,1.3568535214948385
4044,106,Non-infected,低リスク,1.2188684176140074
2656,105,Non-infected,低リスク,1.2073696589572716
6740,104,Non-infected,低リスク,1.1958709003005357
7771,99,Infected,低リスク,1.138377107016856
4436,98,Infected,低リスク,1.1268783483601201
8053,96,Infected,低リスク,1.1038808310466484
3241,94,Infected,低リスク,1.0808833137331766
6677,89,Infected,低リスク,1.023389520449497
8585,87,Non-infected,低リスク,1.0003920031360252
6615,86,Non-infected,低リスク,0.9888932444792892
2884,85,Infected,低リスク,0.9773944858225532
1822,81,Non-infected,低リスク,0.9313994511956095
6736,79,Infected,低リスク,0.9084019338821377
6301,78,Infected,低リスク,0.8969031752254017
4588,77,Infected,低リスク,0.8854044165686659
1801,75,Non-infected,低リスク,0.862406899255194
8070,74,Non-infected,低リスク,0.8509081405984581
6971,67,Infected,低リスク,0.7704168300013067
3791,67,Non-infected,低リスク,0.7704168300013067
3796,66,Infected,低リスク,0.7589180713445708
7172,66,Infected,低リスク,0.7589180713445708
9355,64,Non-infected,低リスク,0.7359205540310989
4082,64,Non-infected,低リスク,0.7359205540310989
4777,63,Non-infected,低リスク,0.724421795374363
8001,62,Infected,低リスク,0.712923036717627
3178,61,Infected,低リスク,0.7014242780608911
7538,60,Non-infected,低リスク,0.6899255194041553
3068,58,Infected,低リスク,0.6669280020906834
6182,58,Non-infected,低リスク,0.6669280020906834
7421,57,Infected,低リスク,0.6554292434339475
1672,57,Non-infected,低リスク,0.6554292434339475
1844,56,Non-infected,低リスク,0.6439304847772115
6638,56,Non-infected,低リスク,0.6439304847772115
6703,55,Non-infected,低リスク,0.6324317261204756
2345,53,Non-infected,低リスク,0.6094342088070037
8628,53,Non-infected,低リスク,0.6094342088070037
7604,53,Non-infected,低リスク,0.6094342088070037
7224,52,Non-infected,低リスク,0.5979354501502678
7744,52,Infected,低リスク,0.5979354501502678
3276,51,Non-infected,低リスク,0.586436691493532
2323,50,Non-infected,低リスク,0.5749379328367961
3159,49,Non-infected,低リスク,0.5634391741800601
7187,49,Non-infected,低リスク,0.5634391741800601
9997,48,Infected,低リスク,0.5519404155233242
8700,47,Non-infected,低リスク,0.5404416568665883
9446,46,Non-infected,低リスク,0.5289428982098523
5541,45,Non-infected,低リスク,0.5174441395531164
8267,44,Infected,低リスク,0.5059453808963805
8346,43,Non-infected,低リスク,0.4944466222396446
8609,43,Non-infected,低リスク,0.4944466222396446
7951,43,Non-infected,低リスク,0.4944466222396446
6382,43,Non-infected,低リスク,0.4944466222396446
8157,42,Infected,低リスク,0.48294786358290864
3856,42,Infected,低リスク,0.48294786358290864
2109,38,Infected,低リスク,0.436952828955965
7419,37,Infected,低リスク,0.42545407029922905
7544,37,Infected,低リスク,0.42545407029922905
7241,35,Non-infected,低リスク,0.4024565529857572
3697,35,Infected,低リスク,0.4024565529857572
6093,34,Infected,低リスク,0.3909577943290213
6942,33,Non-infected,低リスク,0.3794590356722854
8331,33,Non-infected,低リスク,0.3794590356722854
6837,33,Non-infected,低リスク,0.3794590356722854
3407,33,Infected,低リスク,0.3794590356722854
6727,33,Infected,低リスク,0.3794590356722854
7806,32,Non-infected,低リスク,0.36796027701554945
3803,32,Non-infected,低リスク,0.36796027701554945
1780,32,Non-infected,低リスク,0.36796027701554945
3443,32,Non-infected,低リスク,0.36796027701554945
7282,31,Infected,低リスク,0.3564615183588135
6548,31,Non-infected,低リスク,0.3564615183588135
3445,30,Non-infected,低リスク,0.3449627597020776
9435,29,Infected,低リスク,0.3334640010453417
3623,29,Non-infected,低リスク,0.3334640010453417
7201,28,Non-infected,低リスク,0.32196524238860574
1879,26,Non-infected,低リスク,0.2989677250751339
4714,26,Non-infected,低リスク,0.2989677250751339
1326,25,Non-infected,低リスク,0.28746896641839803
6137,25,Non-infected,低リスク,0.28746896641839803
3773,23,Infected,低リスク,0.26447144910492615
1301,23,Non-infected,低リスク,0.26447144910492615
3647,22,Non-infected,低リスク,0.25297269044819026
1929,22,Non-infected,低リスク,0.25297269044819026
6797,22,Infected,低リスク,0.25297269044819026
2206,22,Non-infected,低リスク,0.25297269044819026
4361,20,Non-infected,低リスク,0.2299751731347184
4684,19,Non-infected,低リスク,0.2184764144779825
9433,19,Infected,低リスク,0.2184764144779825
8622,16,Non-infected,低リスク,0.18398013850777473
6173,16,Non-infected,低リスク,0.18398013850777473
7707,16,Infected,低リスク,0.18398013850777473
9090,14,Infected,低リスク,0.16098262119430287
6147,13,Non-infected,低リスク,0.14948386253756696
8704,13,Non-infected,低リスク,0.14948386253756696
9824,10,Infected,低リスク,0.1149875865673592
3266,9,Non-infected,低リスク,0.10348882791062328
1433,9,Non-infected,低リスク,0.10348882791062328
4287,7,Infected,低リスク,0.08049131059715144
3071,6,Non-infected,低リスク,0.06899255194041552
2160,5,Non-infected,低リスク,0.0574937932836796
6588,5,Non-infected,低リスク,0.0574937932836796
9978,5,Infected,低リスク,0.0574937932836796
9972,4,Infected,低リスク,0.04599503462694368
7215,3,Non-infected,低リスク,0.03449627597020776
8411,1,Infected,低リスク,0.01149875865673592
8624,1,Non-infected,低リスク,0.01149875865673592
